created_year,created_month,created_dayofweek,created_hour,is_weekend,Borough,Community Board,Incident Zip,City,Location Type,Address Type,Latitude,Longitude,y
2014,4,1,0,0,MANHATTAN,07 MANHATTAN,10025,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.79942723045277,-73.96329288231652,48.0
2014,4,1,0,0,MANHATTAN,07 MANHATTAN,10024,NEW YORK,1-2 Family Dwelling,ADDRESS,40.7911225254594,-73.97720130637305,72.0
2014,4,1,0,0,MANHATTAN,Unspecified MANHATTAN,Other,NEW YORK,Commercial Building,LATLONG,40.7504229931517,-74.00334932067759,216.0
2014,4,1,0,0,QUEENS,05 QUEENS,11385,Ridgewood,Other (Explain Below),INTERSECTION,40.70049204248902,-73.90132672383946,48.0
2014,4,1,0,0,STATEN ISLAND,01 STATEN ISLAND,Other,STATEN ISLAND,Other (Explain Below),ADDRESS,40.62453519339569,-74.1620781173058,672.0
2014,4,1,0,0,BRONX,07 BRONX,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.87176525445871,-73.88828358796718,24.0
2014,4,1,0,0,BROOKLYN,Unspecified BROOKLYN,11233,BROOKLYN,Construction Site,LATLONG,40.68309591664199,-73.92323448482809,384.0
2014,4,1,0,0,MANHATTAN,Other,Other,NEW YORK,1-2 Family Mixed Use Building,ADDRESS,40.74601495329468,-74.00228446089388,216.0
2014,4,1,0,0,MANHATTAN,Other,Other,NEW YORK,Other (Explain Below),ADDRESS,40.72737783112845,-74.00793023817727,216.0
2014,4,1,0,0,BROOKLYN,Other,Other,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.64657681425266,-73.8986605405146,144.0
2014,4,1,0,0,QUEENS,12 QUEENS,Other,Jamaica,1-2 Family Dwelling,ADDRESS,40.69349719890501,-73.7825591425669,168.0
2014,4,1,0,0,BROOKLYN,16 BROOKLYN,11233,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.684861718362434,-73.91665577418661,254.79944444444445
2014,4,1,0,0,BRONX,07 BRONX,10458,BRONX,Vacant Building,ADDRESS,40.87330067114104,-73.88386966579462,24.0
2014,4,2,0,0,MANHATTAN,07 MANHATTAN,10024,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.78407154275618,-73.9784206296702,120.0
2014,4,3,0,0,MANHATTAN,09 MANHATTAN,10031,NEW YORK,3+ Family Mixed Use Building,ADDRESS,40.82927175496789,-73.94545122337765,144.0
2014,4,2,0,0,BRONX,Other,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.832015667504976,-73.89628220589428,185.78194444444443
2014,4,2,0,0,MANHATTAN,10 MANHATTAN,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.825186430625706,-73.93768972461712,168.0
2014,4,2,0,0,MANHATTAN,Unspecified MANHATTAN,Other,NEW YORK,3+ Family Mixed Use Building,BLOCKFACE,40.77312489997925,-73.95667505262564,288.0
2014,4,2,0,0,MANHATTAN,Other,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.76340767912766,-73.98684557759395,192.0
2014,4,2,0,0,QUEENS,Other,Other,Other,3+ Family Apt. Building,ADDRESS,40.66849207280431,-73.85579558109518,183.38222222222223
2014,4,2,0,0,BROOKLYN,17 BROOKLYN,11226,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.64238936407909,-73.95057661045547,120.0
2014,4,2,0,0,BROOKLYN,02 BROOKLYN,11217,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.68567783544999,-73.97956302026721,216.0
2014,4,2,0,0,BROOKLYN,08 BROOKLYN,11213,BROOKLYN,Parking Lot/Garage,INTERSECTION,40.67325789139592,-73.93069735829563,528.0
