created_year,created_month,created_dayofweek,created_hour,is_weekend,Borough,Community Board,Incident Zip,City,Location Type,Address Type,Latitude,Longitude,y
2017,4,1,0,0,STATEN ISLAND,03 STATEN ISLAND,Other,STATEN ISLAND,Other (Explain Below),ADDRESS,40.55661033,-74.13136023,1176.0
2017,7,4,0,0,BROOKLYN,03 BROOKLYN,11221,BROOKLYN,Other (Explain Below),INTERSECTION,40.68456462,-73.93237664,240.0
2017,4,0,0,0,QUEENS,12 QUEENS,Other,Other,1-2 Family Dwelling,ADDRESS,40.71182879,-73.75876099,864.0
2017,5,1,0,0,BROOKLYN,03 BROOKLYN,11221,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.68999903,-73.92748512,672.0
2017,5,1,0,0,BROOKLYN,Unspecified BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,LATLONG,40.63415147,-73.97299271,576.0
2017,5,3,0,0,STATEN ISLAND,01 STATEN ISLAND,Other,STATEN ISLAND,1-2 Family Dwelling,ADDRESS,40.63798257,-74.08096888,936.0
2017,7,4,0,0,MANHATTAN,09 MANHATTAN,10031,NEW YORK,Other (Explain Below),INTERSECTION,40.82772833,-73.9495067,72.0
2017,5,5,0,1,STATEN ISLAND,03 STATEN ISLAND,Other,STATEN ISLAND,1-2 Family Dwelling,ADDRESS,40.55781448,-74.11688471,576.0
2017,5,6,0,1,BROOKLYN,Other,Other,BROOKLYN,Other (Explain Below),ADDRESS,40.61862879,-73.96940774,456.0
2017,5,6,0,1,BRONX,05 BRONX,10453,BRONX,3+ Family Apt. Building,ADDRESS,40.84759121,-73.91946996,576.0
2017,7,1,0,0,QUEENS,Other,Other,Jamaica,1-2 Family Dwelling,ADDRESS,40.66444077,-73.78102461,1392.0
2017,7,5,0,1,BROOKLYN,Unspecified BROOKLYN,11233,BROOKLYN,1-2 Family Dwelling,LATLONG,40.68260063,-73.92990886,216.0
2017,5,1,0,0,BRONX,05 BRONX,10453,BRONX,Other (Explain Below),ADDRESS,40.85440611,-73.91535888,375.2041667
2017,5,2,0,0,BRONX,Other,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.82597677,-73.88696212,494.2552778
2017,5,0,0,0,BRONX,12 BRONX,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.90560907,-73.84889239,360.0
2017,5,0,0,0,BROOKLYN,01 BROOKLYN,Other,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.71279003,-73.9655157,360.0
2017,5,1,0,0,BROOKLYN,06 BROOKLYN,Other,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.68975828,-73.99533757,360.0
2017,5,1,0,0,BRONX,Other,Other,BRONX,3+ Family Mixed Use Building,ADDRESS,40.87394485,-73.90386802,336.0
2017,5,2,0,0,BROOKLYN,03 BROOKLYN,11221,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.69155001,-73.92777191,327.6558333
2017,5,2,0,0,MANHATTAN,03 MANHATTAN,10009,NEW YORK,3+ Family Apt. Building,ADDRESS,40.72355314,-73.9812759,232.0597222
2017,5,3,0,0,QUEENS,Other,Other,Other,1-2 Family Dwelling,ADDRESS,40.65495671,-73.74717065,168.0
2017,5,3,0,0,BRONX,Other,10458,BRONX,Other (Explain Below),ADDRESS,40.8561832,-73.88508525,112.5491667
2017,5,3,0,0,MANHATTAN,Unspecified MANHATTAN,10128,NEW YORK,Other (Explain Below),LATLONG,40.77737796,-73.94703187,312.0
2017,5,4,0,0,MANHATTAN,Unspecified MANHATTAN,10009,NEW YORK,3+ Family Apt. Building,LATLONG,40.72365739,-73.98100529,184.0055556
2017,5,5,0,1,BROOKLYN,05 BROOKLYN,11207,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.6680208,-73.90065742,256.3627778
2017,6,1,0,0,BROOKLYN,Unspecified BROOKLYN,11216,BROOKLYN,Other (Explain Below),LATLONG,40.68113125,-73.9556604,312.0
